Description,Commenting,Ogling,Groping
wait bus guy came stood besid mei walk could get auto guy follow make lewd gesturei panic stricken abl make mind whether call help take pepper sprayfortun auto arriv moment savedit happen night,0,0,0
person contious stare tri touch bodi part insid public bus,0,0,0
one man snatch chain relat tore cloth,0,0,1
catcal,1,1,0
yes sexual harass onc happen studi nist collegeit awkward moment life till,0,0,0
guy walk pass us walk girlfriend heard click phone know confront turn taken pictur made delet,0,0,0
would travel bus often experienc men tri brush stare worst thing two three conductor alway tri touch women purpos hold hand women hand ticket happen four five time,1,1,1
girl school alway touch breast classmat never report,0,0,1
incid happen friend well walk road mask men bike,0,0,1
survey carri safec ( red dot foundat ) along safeti audit street market mumbai,1,1,1
girl sexual harass fellow classmat,0,0,0
guy misbehav,1,0,0
boy comment go templ,1,0,0
girl whistl,0,0,0
friend ogl man veri long time made weird facial express look,0,1,0
stand bus stop two guy bus stop crowd look around chang posit stood femal stand bus stop see face recogn guy could cheap thing stand near ladi wait bus guy also came near toa like also chang posit like notic action saw give cheap facial express see chang direct face opposit direct also notic contin smile look talk onli tri judg board bus also board bus boy stand next told parent wont abl travel public transport sort thing happen,0,1,0
go friend boy bus kept stare breast,0,1,0
catcal comment touch area,1,0,1
touch,0,0,1
follow uncl shop area,0,0,0
molest teacher class,0,0,1
fun park friend came man caught hand slap,0,0,1
one man tri touch back walk street,1,0,1
survey carri safec ( red dot foundat ) along safec audit street market mumbai,0,0,1
go colleg bandra carter road mani colleg go student comment firl time even touch run bikesthi happen almost everyday,0,1,1
incid occur aunt rajasthan holiday familywhen guy would continu stare shoppingit freak littl,0,1,0
harass,1,0,0
near du mean see mix type crowd one du student victim evil comment boy friend girl could give back boy,1,0,0
crimin usual chain snatch comment various bad activ,1,1,0
sexual harrasmemt dadar market,1,0,1
friend mine group ill manner guy comment obscen bodi,1,0,0
auto rickshaw driver pass comment,1,1,0
pictur taken near ashok vihar,0,0,0
stalk leh citi ( day timeeven ),0,0,0
one teenag boy open invit girl sex,0,0,0
veri frequent,0,1,1
men stand near tea stall right next hous keep stare whenev wash utensil tap outsid,0,1,0
ogling/faci express,0,1,0
grope saket,0,0,1
friend return home work two men start whistl follow us scare walk faster ignor told mother told ignor avoid troubl take differ rout,0,0,0
happen dure morn time month ago,0,0,1
way shop man next ropad start call ignor,0,0,0
incid took place sector rohinim friend go colleg morn two boy start comment us,1,0,0
come villag travel crowd bus boy touch girl inappropri mani time girl ignor later one aunt came,0,0,1
walk friend guy start whistl us,0,0,0
man caught red hand defil year old man taken polic station lock night includ year old,0,0,0
walk man whistl look back made weird express ignor,0,0,0
mall elev liftman look not like way lookinh felt violat not know,0,1,0
friend touch breast boss md,0,0,1
one fake id made name use send unnessari mgs peopl face book,0,0,0
day way school saw men follow ladi way work,0,0,0
teas group girl throw pebbl,0,0,0
follow,0,0,0
friend good time friend notic jerk take pictur make video,0,0,0
two girl get harras ( comment ) boy,1,0,0
near metro station,0,0,1
group guy sit cross road one guy whistl,0,0,0
friend normal even walk came across two men start follow us pass inappropri comment shout help disappear bike,1,0,0
man wink shout futur wife,1,1,0
incid took place eveningther strang middl age man kept follow mehi facial express code conduct veri inappropri,0,1,0
comment,1,0,0
even boy snatch chain,0,0,0
catcal comment touch sexual invit rajendra place metro afternoonit shameless not describ word,1,0,1
parent friend hous usual go alway area harass face witnessmost morn,1,0,0
file report day ago larger buse hide gone still smaller van size one park next build today rough pm thing call watchman ran away befor anyth could done even get look face,0,0,0
sinc ranganathan street veri crowd street men occasion tri touch,0,0,1
travel bus colleg got seat sat bus crow sometim man enter constant shake crotch touch arm,0,0,1
group person sit car follow rickshaw tri talk girl insid rickshaw pass loud comment,1,0,0
come back home guy stand tree constant stare give wierd look,0,1,0
touch uncomfort,0,0,1
incid happen public vehicl countri suffer fuel crisi public vehicl pack sister travel micro bus space put leg sudden saw old age man ( abt yrs ) touch hip teenag girl sister say anyth man old man chronic touch hip harras girl notic man return back said noth,0,0,1
happen afternoon,1,0,0
friend mine comment upon return tution,1,0,0
guy masturb scandal,0,0,0
misbehav,1,0,0
realli bad,1,0,1
metro station guy came hit breast couldnt react,0,0,1
comment hauz khas metro station night time,1,0,0
touch,0,0,1
dure rain danc parti guy tri touch pass comment follow us dure even,1,0,1
even time bunch boy tri touch pass commentss,1,0,0
crowd bus happen friend sit general seat left side bus man next friend sit aisl side felt someth shoulder turn check turn man erect rest shoulder happen best bus,1,1,1
happen maharani enclav night comment dirti comment,1,0,0
harass,1,1,0
dure night walk drop friend apart next minut know guy scooti hit ass drove,0,0,1
chain snatch najafgarh,0,0,0
bus street not safe,1,1,1
bus conductor comment sudden grip hand refus go start rebuk shout,0,0,1
happen afternoon,0,0,0
night boy comment,1,0,1
coloni boy came comment someth bad,1,0,0
friend travel bus alon guy sit front came side start come closer,0,0,0
uncl use show porn use touch,0,0,1
two three guy comment dure even travel,1,0,0
men said veri bad word comment figur even took pictur,1,1,0
stand station wait train arriv notic man brush felt veri uncomfort,0,0,1
facial express write mobil number unnecessarili train seat ( happen train rajasthan not borivali station ),0,1,0
one person touch sexual organ public vehicl,0,0,1
boy touch one girl bus soo uncomfort,0,0,1
boy use teas girl disturb chang hr rout,0,0,0
man came close friend move away start accus us public go place excus colleg,1,0,0
dure even ( pm ) sister touch travel rikshaw,0,0,1
boy snatch chain woman night pm amp incid becom common routin,1,0,0
around even guy comment make facial express near rajiv chowk platform,1,1,0
pictur taken comment pass,1,0,0
incid took place dure day timei travel rickshaw two guy car follow start pass lewd commentseven rickshaw puller turn rickshaw wrong direct follow cue,1,0,0
even pm,0,0,0
climb train man grope unus place,1,1,1
return shop even guy came start talk tell getup scare,1,0,0
harras guy bike,1,1,1
happen morn,1,0,0
buson boy tri touch n kiss cheek,0,0,1
sunset juhu tara road road juhu beach link road pass hotel sea princess becom flood call girl sit auto rickshaw await clientsthey room nearbi shanti whole set well plan sure polic conniv,0,0,0
th grader teas st grader school bus lift skirt,0,0,1
get stare go school,0,1,0
man pretend drunk start touch girl privat part claim doe not know,0,0,1
class one friend got harass last period one classmat touch privat part intent got afraid share later complaint teacher,0,0,1
front aunt home small ground group boy gather smoke teas girl one victim one day decid share problem aunt took action remov feel safe,1,1,0
ladi walk along riverroad go cosmet shop men seat along pevment start star shout suggest ignor provok way back told quotyou noth proud ofquot,0,1,0
beer bar close two girl hit men refus go,0,1,1
onc travel bus ( ) person drunk amp made bad touch,0,0,1
walk street girl clap hand get attent blink one eye,0,1,0
chain snatch th aug around amon day rakshabandhan come nephew hometwo peopl came snatch chain woman,0,0,0
inappropri touch dure morn afternoon rush hour thane station,0,0,1
newspap seller keep stare everytim pass street pedder road near bank india ignor,1,1,0
go market car stop next comment cloth ask join,1,0,0
pm presum young girl come back school drope motocycl enter cite ( hostel ) caught rape three guysrumour rape becaus refus date one three boy,0,0,0
school boy sit street ( girl boy ) go street heard cheap comment quotarr pakkad le chodna mat chuml chumlequot ( catch let go kiss kiss ),1,0,0
one day aunt go market boy follw,0,0,0
beat student teacher,0,0,0
two biker came one bike guy sit behind snatch wallet,0,0,0
harass,1,0,0
guy follow took pictur,1,0,0
man touch girl hand move away caught hand grin,0,0,1
men call name made uncomfort walk,0,0,0
leav colleg guy comment,0,0,0
realli bad near arsd colleg,1,0,0
neighbor sister age around sexual harass boy work doha qatar post nack unwant pronograph video fake fb id,0,0,0
friend way watch movi men whistl sing romant cheap song behind us,0,0,0
crowd newroad one person pinch chest went away not even notic,0,0,1
friend sit cousin read holi book teacher touch inappropri went sit place,0,0,1
walk road saw guy make bad comment girl pass,1,0,0
come back home guy stand tree constant look give weird look clear look mb constant stare,0,1,0
stare,0,1,0
take pictur make video,0,0,0
sexual assault twice life onc age,1,0,1
harass even,1,1,1
group boy tri touch friend go market,1,0,1
incid took place around augustseptemb afternoon ( pm ) near bus stop opposit colleg ( vip pitampura ) passerbi ogl whistl,0,1,0
boy whistl walk footpath,0,0,0
boy follow girl hous tri touch,0,0,0
incid took place even insid dtc bus friendther man first tri touch back part friend bodi also expos privat part,0,0,0
bus go colleg sit aisl seat man start ruf crotch shoulder,0,0,1
person comment respect religion cast,1,0,0
one morn friend go colleg ratnapark sky bridg encount man sudden grab breast walk away noth happen,0,1,1
group boy touch bad manner continu bus rout,0,0,1
touching/grop najafgarh,0,0,1
group guy came start pass commentsit happen afternoon,1,0,0
old ladi walk sudden men came push snatch train slap arm ran away,0,0,0
man use follow us everi one day touch breast ran away,0,0,1
leav colleg morn guy start comment,1,0,0
incid happen bhatbhateni superstor saw girl age approx follow old age man give troubl,0,0,0
man stand besid touch back hand also bad thing difficult describ ( narainar roadbus ),0,0,1
realli terribl,1,1,0
teas girl come school,1,0,0
climb stair person touch butt felt back,0,0,1
touching/grop morn,0,0,1
practic go home boy deliber caught hold hand,0,0,1
misbehav,0,0,0
one person tottali unknown touch bodi neck waist,0,0,1
eve teas,1,0,0
come back work use laini saba ground rout man appear came straight statrt touch button see peopl come ran fear life,0,0,1
dure afternoon three guy initi follow friend thn later saw click pictur know ask guy help us got us phone delet pictur taken,0,0,0
boy start touch girl hand girl gave boy look move sometim grab hand touch ass,0,0,1
guy brush elbow chest,1,1,1
saw woman touch breast forc man,0,0,1
boy whistl way school,0,0,0
friend boy comment talk nonsens felt veri uncomfort tri escap place soon could,1,0,0
entir stretch littl ahead movi time theatr ramchandra lane extens veri unsaf due absenc street light entir road dark fill pothol ad presenc liquor shop cigaratt shop lane attract young boy sit drink till late night lane also slum settlement make thing worseth slum dweller add unsafeti road,0,0,0
ogl weird facial express man car stop walk road,0,1,0
inappropri behavior afternoon,0,0,0
saloon heard ladi discuss one day taken pictur without consent later saw pictur wassup group veri shock,0,0,0
near select citi walk autowala pass comment someth made cheap expressionit happen even,1,0,0
boy known alway call girl whistl not respond hurl insult,0,0,0
go school road quiet man came near tri ignor came near tri touch ear realiz tri snatch golden earring shout thief ran away site,0,0,0
general,1,1,1
random guy touch friend breast ran away return home tuition,0,0,1
school brother friend stop becaus knew stop tri kiss,0,0,1
boy class abus infront school take cloth,0,0,0
guy keep take pictur friend without permiss everyday doe not respond choos ignor,0,0,0
lost phone night crowd place,0,0,0
one man touch way school,0,0,1
two guy pass lewd comment happen dure even,1,0,0
dure afternoon travel comment upon becaus cloth wear,1,0,0
friend bus stop boy start comment,1,0,0
felt annoy unsaf incid afraid travel alon colleg,0,0,0
friend travel share auto guy sit next unpleas way,0,0,1
got stalk day peopl,0,0,1
husband beat not home even outsid alcohol doe not work spend hard earn money alcohol go shop buy groceri make alleg affair complain polic sever time not help tell sort live near wednesday market,0,0,0
unsaf pedestrian bridg connect borivali east west presenc drug addict bridg presenc anti social element bridg veri desert non peak hour like afternoon pm light not function find broken alcohol bottl cigarett condom lie earli morn,0,0,0
india lot gang rape go one tell take action,0,0,0
catcal comment bad facial eexpress h block shastri nagar rape girl age year,1,1,0
one fate even three month ago left home go clubbingon way attack gang arm robber strip belt cell phone money evn jewelri left strand isol dark street diddn know,0,0,0
girl alway sent man get paid tell girl sleep not tell anyon,0,0,0
touch crowd cross,0,0,1
happen even,1,1,1
friend bus stop old man flash genit us walk though noth happen,1,0,1
last mani year almost everyday victim sexual assault travel unfortun never take ani action far,1,1,1
incid took place dtc bus morningpeopl bus pass comment also tri find reason touchthi happen veri often,1,1,1
railway station,0,0,1
peopl crowd tri comment inadequ sisterit happen even,1,0,0
travel bus got stop start walk toward hous two guy come toward pass made cheap comment,1,1,0
touch night travel feel safe,0,0,1
even bus saw incid happen regard mobil snatch,0,0,0
colleagu mine emot pressur boss sexual intercours,0,0,1
use visit colleg daili vehicl face comment indec exposur day quit riski travel bus,1,0,0
evenung man tri toucha girl,0,0,1
take benefit crowd mani peopl tri click pictur wear sare dure even,0,1,0
start one day campus sociocultur night campusi call group girl ask give money refus later slap remov dress someth ugli,0,0,0
ogling/faci express,0,1,0
happen outsid back gate ladi shri ram colleg lajpat nagar morn / / walk colleg got grope way,0,0,1
give taxi driver larg enough tip carri bag ( took upon ) decid grab right breast instead,0,0,1
friend wit incid local railway station crowd place wait realiz man stand behind tri ejacul dress behind moment realiz turn around hit hard man push back ran away,0,0,1
group guy tri touch grope friend,0,0,1
guy look sing song way ti market,0,0,0
man neighbourhood kidnap girl rape themon victim said carri away dump,0,0,0
man help give lift rain later befor get kibera start touch thigh privat part,1,0,1
friend mine attack rape arm rubber happen come back church littl bit dark eveningthes men stand road sudden girl felt tap shoulder,0,0,0
come delhi dehradun night bus usual travel night save time dure dayi request give seat side ladi onli unfortun guy came thereat night around pm almost everyon bus asleep halfasleep felt hand approach inner thigh touch privat part immedi stood start shout peopl wake see creep mebut sad one even move bit open eye noth not even ask happn went conductor request chang seati final got conductor seat onli couldnt sleep rest nighti kept think mani day till today feel like give hard punch face,0,0,1
walk street boy comment hair style look,1,0,0
stalk way tuition,0,0,0
boy show video near church alway tri lure school girl sex,0,0,0
happen even around month back way madangir guy follow,0,0,0
four boy tri take pictur friend come tuition,0,0,0
neighbour told follow give guava went plantat pull cloth rape,0,0,0
bad comment girl,1,1,0
harass,0,0,1
return back brother home teas group girl comment,0,0,0
friend stand somewher model town saw somebodi click pictur although sure click pictur onli express made quiet clear,0,0,0
harass,0,1,1
deboard metro realis man taken snap friend make indec express,0,1,0
stalk eve teas,1,0,0
wit husband beat wife public place happen dure afternoon,0,0,0
boy take pictur friend metro station turn away,1,0,0
girl wa chase follow sever boy around legion maria church area way shop around pm,0,0,0
friend walk road guy pass pass comment,1,0,0
regular beaten husband especi use come home drunk,1,1,0
sister come back studi one saturday even boy call ask could talk sinc late pm refus boy caught herh want rape peopl came aid,0,0,0
happen bar night stupid guy tri touch slap instead,0,0,1
misbehav,0,0,1
sexual harass parent away left hous uncl night sleep uncl harass saxual thank god struggl let gowhen ever think struggl make loos respect himi report case mother drove,0,0,1
bus old man touch comment beauti ask go dear,1,0,1
incid took place even friend sistersh market follow boy ask friend,0,0,0
age yearstyp harassmentcatcal school leh ( day time ) comment school leh ( day time ),1,0,0
gang peopl whistl friend way home,0,0,0
twice grope drunk men societi dure night hour school know react,0,0,1
boy comment girl,1,0,0
incid took place afternoonstar inappropri manner,0,1,0
way buy stuff sudden man pretend mad walk pass ran woman onli touch butt laugh ladi felt bad took,0,0,1
abus famili member home,0,0,1
friend sexual harres uncl,0,0,0
plan buy sock even time shop close saw woolen shop thought could get pair sock ask buy pair sock said look beauti want make friend ask hug refus want go gave gold chain tri persuad sex came told friend came threaten guy,0,0,0
step offic buy munch stupid roadsid stranger start pass comment like saman leke kidhar ka rahi ho,1,0,0
happen morn,1,0,0
eve teas boy watch film,0,0,1
touch grope comment rajiv chowk metro station,1,0,1
categori select dure afternoon even,1,0,0
touch board train,0,0,1
dure night time lot guy saw comment upon ignor walk away,1,0,0
way son class right outsid build hail rickshaw two teenag one live build start point made comment laugh ignor onc second time walk question yell,1,0,0
walk bhatbateni supermarket saw boy teas girl pass,1,0,0
stalk stare grope sexual invit,0,0,1
man tight grab thigh pack micro bus,0,0,1
go across street groceri store two men began follow bike comment,1,0,0
usual avoid comment onc guy use follow everydayi complain teacher help,0,0,0
walk road one man pass say want touch breast could not anyth,1,0,0
ladi wear gold chain snatch two guy happen even around pm,0,0,0
happen vacat familyand shoppingso guy tri touch mei got scare,0,0,1
bike rider tri stop not stop haul insult sayingquot bent leg dumb uglyquot,1,0,0
old woman walk street two boy bike put mask face snatch chain,0,0,0
wait bus unknown person ask whether want lift car spoke veri dirti tone start click photo car number plate fled away,0,0,0
use chang metro around even mandi hous metro station take metro toward ito one day wait metro realiz somebodi stare long not took serious ignor sudden around day walk toward platform time saw person look smile wierd still ignor continu day use catch metro mine time even tri talk ito metro station use exitthi happen end chang rout,0,0,0
around year someon tri put hand insid back pocket crowd,1,1,1
go home school way home guy comment girl,0,0,0
take pictur comment rude behaviour catcal,1,0,0
guy car stop bus stop call friend ask direct masturb befor could realis happen drove,0,0,0
walk toward stage guy told av got beauti figur,1,0,0
unknown boy came ask name nd ask sit time,1,0,0
whenev drive area night usual get follow guy car tail car tri block way,0,1,0
near park walk,1,1,0
men stand backroad ogl place low lit night intimid walk,0,1,0
along friend head toward gtb metro station rajiv chowk huge crowd one men tri touch posterior part bodi,0,0,1
catcal riksha driver,0,0,0
walk street broad daylight man bike stop ride came close sang pervert song quotzara zara touch mequot,1,0,0
survey carri safec ( red dot foundat ) along safeti audit street market mumbai,1,1,1
comment catcal group drunk rickshawpul,1,0,0
man touch breast tight could not anyth felt much pain,1,0,1
birthday way back home dinner mother uncl aunt cousin cross road one man came touch butt later turn whistl first experi sexual harass,0,0,1
stand line group guy disobey queue scold start teas us happen around afternoon,1,0,0
feel mistreat buse,1,1,1
quotat uhuru park town friend shout street boysquot,1,0,0
two girl rape onknown men night,0,0,0
travel buse difficult especi dure rush hour,0,0,1
month ago walk n wear short dress guy ther commment sexyfe,1,0,0
buse head place not safe,1,0,1
sexual harassmentaccord friend said boy pass came took without know happeningto befor could realis boy boy slept herth boy took book gave told mother ask say went beg book studya took back home start shout faintedsh taken hospit whole stori came opensh stay camp idenau boy stay block idenauit said boy use black magic,0,0,0
go home school notic brother look backsid boy pass bad comment brother threaten still comment use bad word n rough voic,1,0,0
pm go baluwatar near nagpokhari two boy tri take pictur said policeman walk,0,0,0
six boy scooti eve teas friend street silent,1,1,0
catcal whistl commentingespeci metro station,1,0,0
man told girl go see becaus want touch,0,0,0
realli unsaf area women,1,1,0
man touch privat part travel bus,1,1,1
chain snatch comment outsid ganga ram hospit,1,0,0
man came run toward befor knew happen grab phone talk ran away,0,0,1
grope catcal kandivali railway station,0,0,1
harass,0,0,1
age yearstyp harassmentstaringogl roam leh market ( even ) stalk dure kacho ( sermon ) choglamsar ( leh ) ( day time ) catcal market dure tuition time ( day time ) comment moti ( fat ) ( day time ),1,1,0
boy follow one girl alon road start comment wistl,1,0,0
happen near liberti cinema hall around pmone neighbor roam front home two biker tri snatch chain,0,0,0
molest attempt rape,0,0,0
saw girl teas bad boy girl afraid even follow,1,1,0
person continu stare amp make comment look,1,1,0
biker stop front friend ask accompani,0,0,0
bike rider cycl rider comment run away,1,1,0
call name like darl chuli ( apricot ),0,0,0
crowd train man tri pull skirt touch privat,0,0,1
happen even,1,1,0
dure even travel comment feel like mandatori thing,1,0,0
way home met boy roadsid saw whistl friend call name,0,0,0
dure coach classmat use follow us everywher use go pass comment dress bodi languag felt veri uncomfort,1,1,0
dure parti danc colleg guy pinch girl inappropri part,0,1,0
teacher beat student,0,0,0
cousin scooter ride along marin drive sea face bike came along behind guy kept smile ogl kept tri distract us would zoom across come way againit happen marin drive follow us way home ( lost half rout ) stop moham ali rd divert rout,0,1,0
quoti feel strong hatr toward ladi dont knw whyquot,0,0,0
lawyer work late almost everi second day transit new bombay andheri via wadala rd station see local boy boy travel line pass expressli lewd comment gestur toward femal commut transgend commut effemin men within train station full view polic offic deploy station,1,1,0
night time friend comment drunkard got scare ran away,1,0,0
walk catch train amidst throng peopl wale snail like pace sudden man besid make way legit brush hand breast complet awar grab hand push away,0,0,1
dtc buse green line not safe,1,1,1
cheap comment follow click pictur,1,0,0
okay incid happen last year ie finish class vashi head toward vashi depot take bus place kharghar navi mumbai board number bus took ladi seat window side phone call minut realis touch near boob behind instanc thought might rod seat later realis somebodi hand tri grab caught hold man hand right turn turn abus ask upto quit shock sure expect girl react way men think scare speak way fear bus conductor came site pull shirt put bus well onli later minut man sat besid start touch thigh burst even mad minut back first one happen turn toward without give second thought liter slap abus angri angri happen peopl bus hit even put happen hesit whatev necessari thought miseri end anoth lecher stare time complain conductor forc bus,0,0,1
hotel boudha sidharth hallopposit sister went enjoy eat food one old man start look himm leav stare,0,1,0
teacher beat student give sister phone number touch bodi not cane sexual relat ship minor,0,0,0
fate monday last year small villag call bovath victim young girl stroll sudden guy came hold knife ask girl pull cloth els would forc itwhen girl refus guy hold close innoc girl shout rape young guy night,0,0,0
group men whistl way church decid ignor,0,0,0
pass ratnapark father offic one guy stare facial express disgust look angrili went away,0,1,0
go home boy harass touch breast girl could not anyth,0,0,1
touch grope,0,0,1
buse head noida,1,0,0
go male friend even group boy start whistl comment,1,0,0
group guy tri push crowd,0,0,1
go fetch water near home white man came pull touch breast manag escap,0,0,1
travel bus guy touch uncomfort way twice happen ask stop,0,0,1
catcal public transport,0,0,0
return coach around pm two boy kavi nagar bike pass comment first ignor start follow continu ask person detail refus tell took mobil phone pocket went day continu stalk,0,0,0
purpos make nois attract attent annoy,0,1,0
boy alway follow girl home without know,0,0,0
dure even walk friend friend comment upon,1,0,0
man stare,0,1,0
lot comment whistl travel dure even,1,0,0
stare whistl wear short kalkaji,0,1,0
illeg pedicab cyclist harass non local pedestrian attempt imit speech,1,0,0
dinner meet uncl call room touch inappropri fled,1,0,1
year old mother attack chain snatcher build decemb scuffl fell fractur thigh bone,0,0,0
comment ogl mean nonverb verbal sexual harass common thing everi girl ignor onli solut rememb kind thing mention not possibl common,1,1,0
biker snatch chain,0,0,0
boy walk stare girl also comment herit happen even,0,0,0
go fetch water boy whistl ignor,0,0,0
one gurl near matern uncl hous harass boy grp girl remain quit took ani action result gang rape boy die hospit veri sad news whole societi shameless act,0,0,0
one man stand near tri touch pretend check pocket exchang seat friend went littl bit far,0,0,1
inappropri danger behaviour,1,0,0
man cought sex young girl call friend told loc door outsid,0,0,0
guy constant stalk stare women pass obscen comment ccd connaught place,1,1,0
work hr dure night journey feel unsaf,0,0,1
year old boy year ago stalk group peopl rob cell phone money etc,0,0,0
alon rent room husband night duti somebodi knew person threw stone door scare next day told landlord,0,0,0
incid happen near shiv mandir,0,0,1
messag rough word facebook,0,0,0
two friend walk street teas drunk men sudden one caught hand said like polic men came complain blame back us,0,1,0
go friend place notic guy stand close stare veri inappropri make indec gestur,0,1,0
night sleep,0,0,1
cousin came meal home meal talk touch bodi unnecessarili like invit sex,0,0,1
man near hous would keep stare start follow school one day came realli close start whisper sexual suggest thing even tri touch inappropri not go school day veri scare inform mother also happen near hanuman mandir vika nagar,0,1,1
ass grab,0,0,1
comment upon boy disturb,1,0,0
friend school teas bull sing make feel veri uncomfort,1,0,0
boy invit us differ place say vulgur word,0,0,0
night street light make area realli unsaf veri unsaf,0,0,0
male taken pictur girl know kind harass peopl shout share stori famili,0,0,0
harass,0,0,1
boy pass comment walk road,1,0,0
age yearstyp harassmentcatcal neymol market near bus station leh march ( even ),0,0,0
took place afternooni wit harass delhi mani timesso mani incid actual not describedno action taken ani male aroundthat irrit part,0,0,1
travel scooti boy scooti comment,1,1,0
went consultation/meet upcom ad shoot radio jockey ( quit famous ) attempt rape let go scream top voic learnt lesson never go one one consult alon live realli horribl world year old walk place scare tear run face next day look back want sue realiz ani wit proof given polic time get work sudden think could kill/ruin life famili member would bring differ five year line move life still time wonder mani girl done withi rememb exact date month also one incid grs fantasi park bangalor year water park area friend went insid water tri swim someon grope breast time continu not good swim anyth seen guy face time got water angri hurt disgust nowher seen went home straight right away alreadi upset engin colleg interior place friend return movi around pm unfortun streetlight connect road colleg bunch guy came bike slap bottom girl whoever could reach dark bike fast noth much could happen almost everyon hostel get alert go side road soon ani bike pass us,1,0,1
secondari school claasmat use come closer start make unecessari advanc like touch kiss without consent,0,0,1
board train sion thane got seat notic thr gap creat haphazard stand peopl guy take pictur girl front partial open decid confront drop next station,0,0,0
ill treat ladi,0,0,1
walk friend man came bike said veri bad word friend,1,1,0
whistl group men,0,0,0
elder gentleman wife mug st franci rd today robber men wait auto rob gentleman gold bracelet wife purs,0,0,0
transgend ask money auto stop signalwhen refus him/her he/sh start touch privat part,0,0,1
man beat wife one neighbour call polic came rescu,0,0,0
unknown guy abus girl touch unwant,0,0,1
ex boyfriend forc get back start touch breast,0,0,1
shop right opposit build shopkeep follow go class bus jogeshwari bus stop bus till class day thing ake reason amp answer stupid said came drop amp use wrong word get late rush wait class see told sir amp came along see ran away amp stop follow,0,0,0
coloni boy start comment left,1,0,0
realli bad,1,1,0
pictur taken outsid colleg afternoon,0,0,0
realli bad,1,0,0
man grope privat part,0,0,1
wallet mobil stolen someon bus stand,0,0,0
harass,1,0,1
way school morn ti boy follow tri show pron video pictur veri disturb,0,0,0
happen someon know around month back friend stare school ( sarvodaya vidalaya ) sweeper happen morn,0,1,0
stand bus station guy tri feel happen dure afternoon,0,0,1
catcal whistl month ago eveningther block pitampura women face whistl comment,1,0,0
ogl catcal whistl facial express,0,1,0
teenag girl molest group boy wear tight skirt refus advanc indec touch harras assault,0,0,0
dtc bus nehru place new delhi peopl use touch privat part,0,1,1
travel girl friend munnar bus halt somewher munnar min break roam take pictur sudden man expos dk start wave toward us embarrass move ahead month date locat approxim,0,0,0
chain snatch sexual invit,0,0,0
person stalk day happen time,0,0,0
dure even wit chain snatch incid,0,0,0
disturb hear guy comment,1,0,0
famili friend peep gap window chang,0,0,0
guy pass comment cross start laugh us,1,0,1
walk street boy comment,1,0,0
behind richshaw boyfriend driver kind fun want tri rickshaw want insist want nice acceptingi sat close grab moment touch pector manner quoth may thought go accept becaus teach mequot kurta noth reveal terribl,0,0,1
incid chain snatch happen yamuna bank area file fir,0,0,0
come chennai sit railway station wait friend pick random man sat next start watch porn cellphon keep could not avoid see,0,0,0
outsid colleg onli come across cheap creepi peopl,1,0,0
girl walk near makina stage cyclist around start comment hip breast,1,0,0
two men bike snatch woman chain cross road,0,0,0
touch grope push deliber,0,0,1
even comment touch veri common area,1,1,1
come home school brother afternoonsom guy car stop car stare bad blew whistl,1,1,0
boy stare girl laugh worn dress short,0,0,0
men sit around kamkunji area tell us would give us money slept tell quotnoquot insult us say wil age watch,1,0,0
bad stare whistl pass street,0,1,0
one boy thereit incid even boy touch organ breast girl girl feel uncomfort slap boy,0,0,1
went visit friend mine usual know mind longto greatest surpris start touch unexpect part point strip rape though end date becaus one disvirgin,0,0,0
continu comment travel dure even hour,1,1,0
harass local train,1,1,0
stare peopl pass king cirlc station tothrow stones/acid pass comment mahim station,1,1,1
english teacher found harass young boy stay privat hostel,0,0,0
woman whenenv pass near school call love tri touch privat part,1,0,1
whistl,0,0,0
peopl call chinki abus north eastern horrifi,1,0,0
sister went visit certain boy boy want sex sister refus found guy drug put sister drink cought befor sister ran away came home told stori,0,0,0
year old man rape year old girl shiv sena maidan sanjay nagar kandivali west mumbai,0,0,0
time bandh andhra pradesh sister walk street light boy ride motorbik tri touch us start comment,1,0,1
one day girl bus n group boy tri comment girl n sing song,1,0,0
grope shahpurjat,0,0,1
wistl comment bad word road walk,0,0,0
masturb park,0,0,0
group boy sit car pass lewd comment,1,0,0
comment,1,1,0
school name jp high school one health teacher use rub back time use take hand waist line time know harass even though talk femal teacher also not anyth,0,0,1
ogl grope,0,1,1
walk road man came near grab breast slap ran away,0,0,1
bus go hous return sundhara shop way back one man tri touch bodi part felt veri uncomfort share mom,0,0,1
rd dec dure xmas eve friend left hous meet uncleon go enter motor cycl anoth man sat behind man alight girl wait motor cycl start move felt someon hit behind neck collapsedth next morn woman saw took hospit doctor said rape,0,0,0
friend travel public bus collegesh harrash one boy busth boy tri touch n feel uncomfort n use safti pin n poke himthen ran awyfrom side,0,0,1
sexual harass auto driver auto way colleg pass comment tri touch catch hand veri dirtili ask stop auto scream refus even morethi took place juhu beach bandra hill road,1,0,1
